,reservoir,yearmonth,m_avg_surf_temp,m_avg_deep_temp,m_avg_dissolved_oxygen,density_cells/ml,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,alg_bloom,alg_bloom_num,temp_diff,type_enc,strat_enc,do_cat
12,BHR,199105,24.4,16.286363636363635,1.7813953488372092,0.0,20.9741935483871,4.245161290322581,51037.52290322581,Forest,Strong,37.3386,-83.4707,no bloom,0,8.113636363636367,1,0,0
13,BHR,199106,26.5,20.942307692307693,3.792307692307692,0.0,22.72,2.533333333333333,52891.12333333333,Forest,Strong,37.3386,-83.4707,no bloom,0,5.557692307692307,1,0,1
14,BHR,199107,28.4,23.57241379310345,3.179310344827586,0.0,25.238709677419354,2.670967741935484,52008.43258064516,Forest,Strong,37.3386,-83.4707,no bloom,0,4.827586206896548,1,0,1
15,BHR,199108,27.5375,25.348148148148148,0.5481481481481482,0.0,23.835483870967742,3.141935483870968,48848.430645161294,Forest,Strong,37.3386,-83.4707,no bloom,0,2.1893518518518533,1,0,0
16,BHR,199109,26.75,24.83448275862069,0.8103448275862069,0.0,20.71,3.48,44734.75866666667,Forest,Strong,37.3386,-83.4707,no bloom,0,1.915517241379309,1,0,0
17,BHR,199110,19.3625,19.630000000000003,5.385,0.0,15.925806451612903,0.7451612903225807,40435.54516129032,Forest,Strong,37.3386,-83.4707,no bloom,0,-0.2675000000000018,1,0,1
18,BHR,199205,19.633333333333333,14.191304347826089,8.02608695652174,0.0,16.383870967741935,4.683870967741935,51109.53870967742,Forest,Strong,37.3386,-83.4707,no bloom,0,5.442028985507246,1,0,1
19,BHR,199206,23.7625,18.641379310344828,6.041379310344827,923.85310653193,20.540000000000003,3.58,52903.894,Forest,Strong,37.3386,-83.4707,bloom,1,5.121120689655172,1,0,1
20,BHR,199207,27.8,21.57586206896552,4.56551724137931,0.0,24.177419354838708,4.658064516129032,51952.78709677419,Forest,Strong,37.3386,-83.4707,no bloom,0,6.22413793103448,1,0,1
21,BHR,199208,26.2375,22.64444444444444,3.655555555555555,0.0,21.887096774193548,2.2419354838709675,48754.40709677419,Forest,Strong,37.3386,-83.4707,no bloom,0,3.5930555555555586,1,0,1
22,BHR,199209,24.175,21.14333333333333,3.316666666666667,0.0,20.30333333333333,2.103333333333333,44627.40433333333,Forest,Strong,37.3386,-83.4707,no bloom,0,3.03166666666667,1,0,1
23,BHR,199210,20.125,19.63076923076923,5.207692307692308,0.0,14.13548387096774,1.1387096774193548,40333.17032258065,Forest,Strong,37.3386,-83.4707,no bloom,0,0.4942307692307714,1,0,1
24,BHR,199305,21.175,14.0,8.807142857142857,0.0,18.60967741935484,2.2419354838709675,51086.79258064516,Forest,Strong,37.3386,-83.4707,no bloom,0,7.175000000000001,1,0,1
25,BHR,199306,25.33,18.38235294117647,4.014705882352941,0.0,23.28,1.68,52899.412,Forest,Strong,37.3386,-83.4707,no bloom,0,6.947647058823531,1,0,1
26,BHR,199307,30.925,21.70357142857143,0.8857142857142858,357.3611111111111,27.074193548387097,2.2838709677419358,51969.05354838709,Forest,Strong,37.3386,-83.4707,bloom,1,9.221428571428572,1,0,0
27,BHR,199308,27.99,22.46,1.4285714285714286,0.0,24.677419354838708,2.838709677419355,48785.350000000006,Forest,Strong,37.3386,-83.4707,no bloom,0,5.529999999999998,1,0,0
