,reservoir,order,yearmonth,density_cells/ml,m_avg_deep_temp,m_avg_surf_temp,m_avg_dissolved_oxygen,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,temp_diff
219,BRR,Unkown,200406,1449.284308168375,18.328787878787878,26.191666666666666,0.29848484848484846,23.456666666666667,2.0433333333333334,52733.01233333333,Ag,Strong,36.892,-86.1225,7.862878787878788
220,BRR,Unkown,200407,1502.486266587375,19.986538461538462,28.02,0.0923076923076923,24.806451612903224,3.303225806451613,51791.71741935484,Ag,Strong,36.892,-86.1225,8.033461538461538
221,BRR,Unkown,200408,3419.3581954887145,22.114754098360656,26.7,0.6081967213114754,23.05806451612903,2.8774193548387097,48650.23677419355,Ag,Strong,36.892,-86.1225,4.585245901639343
222,BRR,Unkown,200409,1248.6549659864286,22.78076923076923,25.47,1.0596153846153846,21.93,2.4766666666666666,44594.439999999995,Ag,Strong,36.892,-86.1225,2.689230769230768
223,BRR,Unkown,200509,695.00475,20.383333333333333,26.6,0.8395833333333335,23.48,1.3299999999999998,44627.859333333334,Ag,Strong,36.892,-86.1225,6.216666666666669
224,BRR,Unkown,200606,5202.4766,16.057142857142857,26.125,1.2348571428571429,24.076666666666664,1.1266666666666667,52724.772,Ag,Strong,36.892,-86.1225,10.067857142857143
225,BRR,Unkown,200607,11931.948571428571,16.56086956521739,28.57,0.811304347826087,26.364516129032257,3.7838709677419353,51826.75419354839,Ag,Strong,36.892,-86.1225,12.009130434782609
226,BRR,Unkown,200707,5853.086641389479,16.98157894736842,28.26,0.5,25.887096774193548,1.0870967741935484,51843.67677419355,Ag,Strong,36.892,-86.1225,11.278421052631582
227,BRR,Unkown,201709,141828.96386855375,22.514347826086958,26.113333333333333,0.8360869565217391,20.740000000000002,5.17,44615.01,Ag,Strong,36.892,-86.1225,3.5989855072463754
228,BRR,Unkown,201808,34405.70014641289,22.46875,29.0,0.39749999999999996,25.12258064516129,3.3870967741935485,48695.01161290323,Ag,Strong,36.892,-86.1225,6.53125
229,CBR,Chroococcales,199206,1916.441593651572,15.893333333333334,21.016666666666666,2.3133333333333335,19.016666666666666,2.0100000000000002,53863.10966666667,Ag,None,39.9485,-83.7459,5.123333333333331
230,CBR,Chroococcales,199207,1839.7251156287568,19.655,23.85,2.605,22.516129032258064,5.793548387096774,52807.602258064515,Ag,None,39.9485,-83.7459,4.195
