,reservoir,yearmonth,m_avg_surf_temp,m_avg_deep_temp,m_avg_dissolved_oxygen,density_cells/ml,temperature,precipitation_sum,daylight_duration,type,stratification,latitude,longitude,alg_bloom
520,NRR,199906,26.392307692307693,10.908411214953272,3.020560747663551,50.131263157894736,24.446666666666665,4.543333333333334,52865.844333333334,Ag,Weak,37.2792,-86.2469,bloom
521,NRR,199907,29.363636363636363,11.603225806451611,1.281720430107527,6.254615384615385,27.94193548387097,0.8387096774193549,51980.39322580645,Ag,Weak,37.2792,-86.2469,bloom
522,NRR,199908,28.215384615384615,12.468181818181819,0.9236363636363636,46.37064,25.983870967741936,0.6483870967741936,48826.78548387097,Ag,Weak,37.2792,-86.2469,bloom
523,NRR,199909,24.825,12.626086956521739,0.8695652173913043,0.0,22.71333333333333,0.9133333333333333,44723.954999999994,Ag,Weak,37.2792,-86.2469,no bloom
524,NRR,199910,19.9,13.215151515151517,2.396969696969697,0.0,15.36774193548387,2.6129032258064515,40437.19645161291,Ag,Weak,37.2792,-86.2469,no bloom
525,NRR,200005,21.17,12.937804878048782,3.4012195121951216,0.0,20.467741935483872,3.935483870967742,51094.65419354839,Ag,Weak,37.2792,-86.2469,no bloom
526,NRR,200006,25.9625,14.346969696969696,1.9696969696969697,23.25059459459459,23.783333333333335,2.9733333333333336,52879.08233333333,Ag,Weak,37.2792,-86.2469,bloom
527,NRR,200007,27.816666666666666,15.598958333333334,0.8093750000000001,5.572542857142857,25.374193548387098,2.8096774193548386,51924.826451612906,Ag,Weak,37.2792,-86.2469,bloom
528,NRR,200008,27.5875,16.57272727272727,0.5772727272727273,0.0,25.741935483870968,1.361290322580645,48734.02838709677,Ag,Weak,37.2792,-86.2469,no bloom
529,NRR,200009,25.860000000000003,16.798765432098765,0.9345679012345679,52.170575,20.816666666666666,3.103333333333333,44616.236333333334,Ag,Weak,37.2792,-86.2469,bloom
530,NRR,200010,20.03,16.17594936708861,1.5253164556962024,0.0,16.9,0.24516129032258063,40335.52741935484,Ag,Weak,37.2792,-86.2469,no bloom
531,NRR,200105,22.133333333333333,10.372463768115942,3.717391304347826,0.0,20.280645161290323,4.183870967741936,51072.419677419355,Ag,Weak,37.2792,-86.2469,no bloom
532,NRR,200106,25.533333333333335,11.567123287671233,2.2424657534246575,10.873619047619048,22.94,2.31,52875.03333333333,Ag,Weak,37.2792,-86.2469,bloom
533,NRR,200107,28.01,12.376829268292683,1.1634146341463414,0.0,25.751612903225805,3.4741935483870963,51942.33387096775,Ag,Weak,37.2792,-86.2469,no bloom
534,NRR,200108,28.7,13.668539325842696,1.0373626373626375,53.50883870967741,25.26451612903226,2.2870967741935484,48764.552903225805,Ag,Weak,37.2792,-86.2469,bloom
535,NRR,200109,26.799999999999997,14.125333333333334,0.6639999999999999,99.97759259259259,20.60666666666667,1.6233333333333333,44649.368,Ag,Weak,37.2792,-86.2469,bloom
536,NRR,200110,19.73,14.720253164556963,2.6202531645569622,0.0,14.638709677419355,4.490322580645161,40368.05483870968,Ag,Weak,37.2792,-86.2469,no bloom
537,NRR,200205,19.32,15.539506172839507,3.458024691358025,0.0,17.81935483870968,4.151612903225806,51049.289032258064,Ag,Weak,37.2792,-86.2469,no bloom
538,NRR,200206,26.4125,15.822727272727272,0.9669696969696969,0.0,24.58,2.6799999999999997,52871.03033333333,Ag,Weak,37.2792,-86.2469,no bloom
539,NRR,200207,29.45,16.092105263157894,0.0988157894736842,0.0,26.55806451612903,2.2419354838709675,51961.313870967744,Ag,Weak,37.2792,-86.2469,no bloom
540,NRR,200208,28.775,16.50952380952381,0.2315873015873016,0.0,25.951612903225808,2.054838709677419,48793.5835483871,Ag,Weak,37.2792,-86.2469,no bloom
541,NRR,200209,26.610000000000003,16.830864197530865,0.5769135802469135,0.0,23.28666666666667,4.819999999999999,44684.76733333334,Ag,Weak,37.2792,-86.2469,no bloom
542,NRR,200210,20.1625,18.09384615384615,2.504153846153846,0.0,14.974193548387097,5.448387096774193,40399.39387096774,Ag,Weak,37.2792,-86.2469,no bloom
543,NRR,200305,21.1875,15.430882352941175,2.4716176470588236,0.0,18.758064516129032,5.909677419354839,51025.61129032258,Ag,Weak,37.2792,-86.2469,no bloom
544,NRR,200306,23.75,17.312,0.2844,315.18190357173074,21.39333333333333,3.453333333333333,52867.76633333333,Ag,Weak,37.2792,-86.2469,bloom
545,NRR,200307,27.98888888888889,18.185915492957747,0.247887323943662,167.05307179484615,25.106451612903225,2.3161290322580643,51979.25064516129,Ag,Weak,37.2792,-86.2469,bloom
546,NRR,200308,28.763636363636362,19.056818181818183,0.09886363636363638,382.0989184704333,25.287096774193547,3.2451612903225806,48823.21967741936,Ag,Weak,37.2792,-86.2469,bloom
547,NRR,200309,25.31,20.844303797468356,0.41392405063291143,0.0,20.066666666666666,4.136666666666667,44719.55766666667,Ag,Weak,37.2792,-86.2469,no bloom
548,NRR,200310,19.2875,18.498333333333335,1.6416666666666666,0.0,15.203225806451613,1.7774193548387098,40432.42451612903,Ag,Weak,37.2792,-86.2469,no bloom
549,NRR,200405,21.53,13.34047619047619,2.9309523809523808,0.0,21.174193548387095,7.170967741935483,51099.00129032258,Ag,Weak,37.2792,-86.2469,no bloom
550,NRR,200406,25.7625,18.16470588235294,0.9367647058823529,2331.941006771,23.256666666666668,2.0933333333333333,52880.67566666667,Ag,Weak,37.2792,-86.2469,bloom
551,NRR,200407,27.68,19.229113924050633,0.18265822784810126,3063.2317631339265,24.548387096774192,3.638709677419355,51923.35064516129,Ag,Weak,37.2792,-86.2469,bloom
552,NRR,200408,26.4,21.034567901234567,0.22074074074074074,370.2115273366364,22.948387096774194,3.0064516129032257,48730.406129032264,Ag,Weak,37.2792,-86.2469,bloom
553,NRR,200409,25.2625,20.442857142857143,0.5693650793650793,0.0,21.896666666666665,1.3833333333333333,44611.060000000005,Ag,Weak,37.2792,-86.2469,no bloom
554,NRR,200410,20.4375,19.45737704918033,1.3421311475409836,0.0,17.17096774193548,4.351612903225806,40330.28806451613,Ag,Weak,37.2792,-86.2469,no bloom
555,NRR,200505,20.075,11.5828125,3.759375,0.0,18.258064516129032,1.4096774193548387,51077.177741935484,Ag,Weak,37.2792,-86.2469,no bloom
556,NRR,200506,26.266666666666666,12.913541666666667,0.5498958333333334,0.0,24.983333333333334,1.7233333333333334,52876.319,Ag,Weak,37.2792,-86.2469,no bloom
557,NRR,200507,28.875,13.621875,0.5171875,0.0,26.20967741935484,2.9838709677419355,51940.99129032258,Ag,Weak,37.2792,-86.2469,no bloom
558,NRR,200508,29.475,14.0171875,0.5328125,0.0,26.9741935483871,4.932258064516129,48760.96161290323,Ag,Weak,37.2792,-86.2469,no bloom
559,NRR,200509,26.96666666666667,17.404166666666665,0.2608333333333333,252.65748717948716,23.113333333333333,1.7266666666666666,44644.99566666667,Ag,Weak,37.2792,-86.2469,bloom
560,NRR,200510,21.925,18.389655172413793,1.3741379310344828,0.0,16.261290322580646,0.25806451612903225,40363.21580645161,Ag,Weak,37.2792,-86.2469,no bloom
561,NRR,200605,20.42,11.486301369863014,3.9969863013698625,0.0,18.048387096774192,3.893548387096774,51054.02225806451,Ag,Weak,37.2792,-86.2469,no bloom
562,NRR,200606,26.599999999999998,17.75111111111111,1.232,51.248,23.486666666666668,1.6766666666666665,52872.29233333333,Ag,Weak,37.2792,-86.2469,bloom
563,NRR,200607,28.78,19.05526315789474,0.11369565217391306,60.05796,26.006451612903227,4.035483870967742,51958.977419354844,Ag,Weak,37.2792,-86.2469,bloom
564,NRR,200608,28.5625,19.723333333333336,0.16833333333333336,0.0,26.229032258064517,3.3548387096774195,48789.0435483871,Ag,Weak,37.2792,-86.2469,no bloom
565,NRR,200609,24.15,20.360526315789475,0.6936842105263158,0.0,19.69333333333333,5.633333333333334,44679.685000000005,Ag,Weak,37.2792,-86.2469,no bloom
566,NRR,200610,20.349999999999998,19.175555555555555,3.4384444444444444,0.0,13.47741935483871,3.625806451612903,40394.58806451613,Ag,Weak,37.2792,-86.2469,no bloom
567,NRR,200705,21.96666666666667,11.315555555555555,3.3435555555555556,0.0,21.654838709677417,1.303225806451613,51029.59580645161,Ag,Weak,37.2792,-86.2469,no bloom
568,NRR,200706,25.610000000000003,12.396,2.2038666666666664,0.0,25.32,1.7366666666666668,52868.85333333334,Ag,Weak,37.2792,-86.2469,no bloom
569,NRR,200707,27.49,13.564102564102564,1.5332051282051282,215.7618923494037,25.606451612903225,1.2258064516129032,51976.18419354838,Ag,Weak,37.2792,-86.2469,bloom
570,NRR,200708,28.6625,14.5984375,1.29421875,0.0,29.883870967741935,0.5612903225806452,48818.881290322584,Ag,Weak,37.2792,-86.2469,no bloom
571,NRR,200709,26.1625,14.8703125,0.7646875,0.0,23.666666666666668,2.35,44713.87966666666,Ag,Weak,37.2792,-86.2469,no bloom
572,NRR,200710,22.525,15.4046875,1.54859375,0.0,18.30322580645161,4.716129032258064,40428.09322580645,Ag,Weak,37.2792,-86.2469,no bloom
573,NRR,200805,18.975,14.8453125,4.80625,0.0,18.312903225806455,4.793548387096774,51103.10032258065,Ag,Weak,37.2792,-86.2469,no bloom
574,NRR,200806,26.389999999999997,15.8125,0.8975,0.0,25.37,2.4366666666666665,52881.12333333333,Ag,Weak,37.2792,-86.2469,no bloom
575,NRR,200807,27.099999999999998,16.608333333333334,0.5645833333333333,0.0,26.538709677419355,2.912903225806452,51919.68129032259,Ag,Weak,37.2792,-86.2469,no bloom
576,NRR,200808,27.8375,16.9984375,0.6625,0.0,25.470967741935485,1.0516129032258066,48725.756129032256,Ag,Weak,37.2792,-86.2469,no bloom
577,NRR,200809,25.119999999999997,17.19625,1.16,3169.307294688667,23.59,1.2066666666666666,44605.581,Ag,Weak,37.2792,-86.2469,bloom
578,NRR,200810,20.1375,17.441666666666666,2.725,0.0,15.551612903225807,2.074193548387097,40326.29096774194,Ag,Weak,37.2792,-86.2469,no bloom
579,NRR,200905,20.875,16.006451612903227,5.219354838709678,0.0,18.799999999999997,4.351612903225806,51080.493870967744,Ag,Weak,37.2792,-86.2469,no bloom
580,NRR,200906,26.916666666666668,18.139583333333334,0.8093750000000001,0.0,24.416666666666668,3.5233333333333334,52876.308666666664,Ag,Weak,37.2792,-86.2469,no bloom
581,NRR,200907,27.01,20.218987341772152,0.4620253164556962,0.0,23.674193548387095,4.203225806451614,51937.213870967746,Ag,Weak,37.2792,-86.2469,no bloom
582,NRR,200908,26.75,21.38375,0.5475,0.0,24.406451612903226,1.4161290322580644,48754.86548387097,Ag,Weak,37.2792,-86.2469,no bloom
583,NRR,200909,25.1,21.3515625,0.5734375,0.0,21.35,3.9633333333333334,44639.280666666666,Ag,Weak,37.2792,-86.2469,no bloom
584,NRR,200910,19.575,19.330645161290324,3.635483870967742,0.0,13.496774193548386,5.232258064516128,40357.77129032258,Ag,Weak,37.2792,-86.2469,no bloom
585,NRR,201005,21.2,14.7546875,5.175,0.0,20.76774193548387,5.887096774193548,51056.189032258066,Ag,Weak,37.2792,-86.2469,no bloom
586,NRR,201006,27.919999999999998,17.7975,0.8225,0.0,27.176666666666666,2.42,52871.939,Ag,Weak,37.2792,-86.2469,no bloom
587,NRR,201007,29.2,18.3859375,0.2703125,0.0,27.151612903225807,3.596774193548387,51955.53483870968,Ag,Weak,37.2792,-86.2469,no bloom
588,NRR,201008,29.48,19.00875,0.44625000000000004,0.0,27.796774193548387,1.8774193548387097,48783.36935483871,Ag,Weak,37.2792,-86.2469,no bloom
589,NRR,201009,24.880000000000003,18.78219178082192,1.134375,2203.358660805652,23.09333333333333,2.4433333333333334,44674.74733333333,Ag,Weak,37.2792,-86.2469,bloom
590,NRR,201010,20.22,18.099999999999998,2.580769230769231,0.0,16.61935483870968,0.7483870967741936,40389.53709677419,Ag,Weak,37.2792,-86.2469,no bloom
591,NRR,201106,26.4,16.52,0.060000000000000005,22519.0832369136,25.09333333333333,4.943333333333333,52868.147,Ag,Weak,37.2792,-86.2469,bloom
592,NRR,201209,27.1,18.5,0.6071428571428571,3190.138319786632,20.78666666666667,5.013333333333334,44600.613,Ag,Weak,37.2792,-86.2469,bloom
593,NRR,201308,27.25,20.491666666666667,0.25666666666666665,72397.41807238667,24.161290322580644,2.954838709677419,48750.28548387097,Ag,Weak,37.2792,-86.2469,bloom
594,NRR,201408,27.2,17.4375,0.47125,10780.524846679722,25.55806451612903,3.7580645161290325,48778.87,Ag,Weak,37.2792,-86.2469,bloom
595,NRR,201506,28.05,16.193333333333335,0.008666666666666666,7069.004518555452,24.65,4.723333333333334,52867.474,Ag,Weak,37.2792,-86.2469,bloom
596,NRR,201508,27.125,22.116129032258065,0.19225806451612903,39284.861333212815,24.9,1.5903225806451613,48810.16129032258,Ag,Weak,37.2792,-86.2469,bloom
597,NRR,201509,24.96666666666667,22.26,1.3893333333333333,49702.333772421545,23.006666666666668,2.4099999999999997,44704.405999999995,Ag,Weak,37.2792,-86.2469,bloom
598,NRR,201510,21.1,21.08,1.504,0.0,15.729032258064516,4.996774193548387,40421.04483870968,Ag,Weak,37.2792,-86.2469,no bloom
599,NRR,201605,20.5,14.450000000000001,4.467826086956522,0.0,17.91290322580645,4.535483870967742,51107.189999999995,Ag,Weak,37.2792,-86.2469,no bloom
600,NRR,201606,24.8,16.546666666666667,2.9746666666666663,0.0,25.236666666666668,2.86,52879.06066666667,Ag,Weak,37.2792,-86.2469,no bloom
601,NRR,201607,29.1,19.653333333333332,0.45266666666666666,0.0,26.45483870967742,4.480645161290322,51913.186451612906,Ag,Weak,37.2792,-86.2469,no bloom
602,NRR,201608,29.85,22.44333333333333,0.3526666666666667,0.0,25.932258064516127,4.235483870967743,48717.504838709676,Ag,Weak,37.2792,-86.2469,no bloom
603,NRR,201609,27.375,22.47741935483871,0.42064516129032253,39474.432612064265,23.59333333333333,1.5599999999999998,44597.135,Ag,Weak,37.2792,-86.2469,bloom
604,NRR,201610,22.975,21.93,0.9966666666666666,0.0,18.983870967741936,0.4419354838709677,40319.27580645162,Ag,Weak,37.2792,-86.2469,no bloom
605,NRR,201705,20.633333333333333,14.061363636363637,3.735454545454545,0.0,18.825806451612905,4.612903225806452,51084.208064516126,Ag,Weak,37.2792,-86.2469,no bloom
